,awake_proportion,light_sleep_proportion,deep_sleep_proportion,rem_sleep_proportion,start_deviation,end_deviation,deep_sleep_start_proportion,rem_sleep_start_proportion,labels
0,0.03,0.63,0.12,0.21,1166.0,1117.0,4.79,21.76,3
1,0.03,0.63,0.14,0.21,1086.0,1084.0,9.29,23.03,3
2,0.04,0.67,0.1,0.19,1080.0,1089.0,5.01,24.12,3
3,0.06,0.63,0.12,0.18,1076.0,1106.0,6.51,20.27,1
4,0.03,0.62,0.13,0.21,1082.0,1067.0,4.06,17.29,1
5,0.04,0.66,0.12,0.19,1139.0,1176.0,5.39,18.12,1
6,0.03,0.66,0.12,0.19,1099.0,1112.0,6.33,25.13,3
7,0.03,0.67,0.11,0.2,1079.0,1101.0,11.53,22.2,3
8,0.03,0.66,0.12,0.19,1124.0,1142.0,4.5,21.18,3
9,0.04,0.65,0.14,0.17,1125.0,1182.0,5.75,24.58,3
10,0.06,0.62,0.14,0.18,1064.0,1117.0,5.14,19.81,2
11,0.04,0.62,0.13,0.21,1124.0,1089.0,4.89,16.6,1
12,0.03,0.62,0.16,0.19,1092.0,1050.0,5.34,24.71,3
13,0.04,0.58,0.16,0.22,1094.0,1099.0,5.67,18.5,2
14,0.03,0.62,0.15,0.2,1085.0,1098.0,4.7,25.23,3
15,0.08,0.66,0.1,0.16,1215.0,1136.0,8.44,15.14,3
16,0.03,0.67,0.11,0.2,1110.0,1091.0,8.72,17.39,3
17,0.04,0.62,0.14,0.2,1066.0,1077.0,5.32,20.74,1
18,0.03,0.64,0.14,0.19,1076.0,1136.0,5.26,28.73,3
19,0.03,0.65,0.13,0.2,1097.0,1112.0,5.82,21.05,3
20,0.02,0.65,0.13,0.2,1088.0,1088.0,4.38,18.61,2
21,0.04,0.62,0.15,0.19,1100.0,1090.0,6.28,19.96,2
22,0.04,0.64,0.14,0.19,1116.0,1086.0,6.31,34.13,3
23,0.04,0.65,0.12,0.2,1087.0,1119.0,6.87,23.32,3
24,0.04,0.62,0.13,0.21,1078.0,1066.0,5.28,16.61,1
25,0.04,0.62,0.13,0.21,1092.0,1088.0,5.49,20.55,3
26,0.07,0.64,0.12,0.18,1047.0,1062.0,4.69,24.09,3
27,0.06,0.64,0.13,0.18,1048.0,1100.0,4.89,24.82,3
28,0.03,0.66,0.12,0.19,1078.0,1102.0,5.55,20.6,1
29,0.04,0.63,0.13,0.2,1051.0,1080.0,3.75,17.27,1
30,0.05,0.64,0.16,0.16,1127.0,1078.0,4.98,19.59,2
31,0.05,0.64,0.12,0.18,1092.0,1054.0,4.86,20.27,2
32,0.03,0.66,0.12,0.19,1133.0,1130.0,7.83,28.48,3
33,0.03,0.64,0.13,0.2,1071.0,1105.0,4.21,18.01,1
34,0.07,0.61,0.15,0.17,1137.0,1147.0,3.37,21.54,3
35,0.13,0.51,0.21,0.16,1169.5,1170.5,10.54,29.89,3
36,0.14,0.5,0.22,0.15,1190.0,1083.5,4.95,26.53,3
37,0.13,0.51,0.18,0.18,1127.0,1142.0,4.17,21.22,3
38,0.17,0.53,0.18,0.12,1184.0,1203.5,13.07,26.64,3
39,0.12,0.53,0.19,0.15,1303.0,1215.0,5.49,28.0,3
40,0.12,0.55,0.18,0.15,1155.0,1099.0,12.41,28.75,3
41,0.13,0.49,0.22,0.16,1158.5,1140.0,6.95,25.3,3
42,0.12,0.52,0.2,0.16,1138.5,1078.0,7.11,26.65,2
43,0.13,0.54,0.15,0.18,1178.0,1090.0,8.22,23.51,3
44,0.12,0.49,0.2,0.19,1186.0,1141.5,9.79,31.08,3
45,0.12,0.48,0.19,0.22,1188.5,1249.5,7.8,33.93,3
46,0.12,0.57,0.13,0.18,1259.5,1190.5,16.04,33.91,3
47,0.16,0.61,0.12,0.12,1352.0,1226.5,11.75,16.74,3
48,0.12,0.53,0.17,0.18,1239.5,1349.0,9.74,17.09,3
49,0.12,0.52,0.16,0.2,1325.5,1274.0,11.01,23.23,3
50,0.14,0.56,0.15,0.15,1214.5,1171.5,7.48,19.54,3
51,0.13,0.59,0.13,0.15,27.5,1193.0,24.34,32.27,3
52,0.13,0.55,0.17,0.15,1175.0,1125.0,7.48,15.16,3
53,0.14,0.51,0.16,0.19,1123.5,1145.5,12.22,17.4,3
54,0.14,0.58,0.12,0.16,1181.5,1151.5,11.23,28.07,3
55,0.13,0.55,0.15,0.18,1129.0,1060.5,9.35,31.95,3
56,0.12,0.56,0.15,0.17,1110.5,1162.5,9.55,33.88,3
57,0.11,0.47,0.21,0.2,1175.0,1143.0,9.99,25.74,3
58,0.12,0.53,0.18,0.17,1171.0,1218.5,5.86,24.7,3
59,0.14,0.6,0.12,0.14,1186.5,1362.5,7.09,29.94,3
